"listing_id";"listing_name";"brand";"listing_description";"condition";"size";"listing_url";"colour";"favorite";"views";"location";"price";"price_tax";"total_price";"payment_option";"upload_time";"processed_at";"username";"rating";"reviewsCount";"followers";"following";"lastSeen";"wardrobeQuantity";"category_id"
"3214788772";"Zomerjurk maat S van Carola van Benthum";"";"Mooie tijdloze zomerjurk. Kleur grijs/blauw.
Stoere stof. Totale lengte 117 cm. Door opblousen wordt ie uiteraard wat korter.";"Good";"S / 36 / 8";"https://www.vinted.nl/items/3214788772-zomerjurk-maat-s-van-carola-van-benthum";"Blue";"0";"18";"Nederland";"6";"1";"7";"";"a year ago";"2025-04-10T20:06:44.044Z";"dmmr";"5";"65";"1";"1";"";"9";"1065"
"6111092723";"Bloemen jurkje";"";"Amper gedragen";"Very good";"M / 38 / 10";"https://www.vinted.nl/items/6111092723-bloemen-jurkje";"Multi";"0";"30";"Nederland";"5";"0.95";"5.95";"";"2 days ago";"2025-04-10T20:59:24.733Z";"marielouise1233";"5";"34";"3";"6";"";"82";"1775"
"5720527617";"Adidas t-shirt grijs";"";"Amper gedragen";"Very good";"XS / 34 / 6";"https://www.vinted.nl/items/5720527617-adidas-t-shirt-grijs";"Grey";"0";"3";"Nederland";"4";"0.9";"4.9";"";"2 months ago";"2025-04-10T20:59:11.014Z";"marielouise1233";"5";"34";"3";"6";"";"82";"221"
"5715659997";"Shirtje van Rabe";"";"Heel mooi shirtje met leuke halslijn";"Very good";"L / 40 / 12";"https://www.vinted.nl/items/5715659997-shirtje-van-rabe";"Green, Multi";"0";"10";"Enkhuizen, Nederland";"5";"0.95";"5.95";"";"2 months ago";"2025-04-10T19:03:17.922Z";"annetenfred";"4.9";"369";"7";"0";"";"538";"223"
"5945939763";"Blouse Made in Italy";"";"In nette staat
Maat L

#find_yourself_women_40";"Very good";"L / 40 / 12";"https://www.vinted.nl/items/5945939763-blouse-made-in-italy";"Beige, Cream";"0";"28";"";"5";"0.95";"5.95";"";"4 weeks ago";"2025-04-10T21:44:50.055Z";"";"";"";"";"";"";"";"1043"
"6102002844";"Jumpsuit Made in Italy";"";"Zo goed als nieuw! Eenmalig gedragen
Maat s/m (zwart met zilveren stippen)

#find_yourself_women_36 
#find_yourself_women_38... more";"New without tags";"S / 36 / 8";"https://www.vinted.nl/items/6102002844-jumpsuit-made-in-italy";"Grey, Black";"0";"4";"";"8";"1.1";"9.1";"";"4 days ago";"2025-04-10T22:10:35.697Z";"";"";"";"";"";"";"";"1131"
"5995783544";"";"";"";"";"";"https://www.vinted.nl/items/5995783544-paul-frank-knuffel";"";"0";"0";"Rozenburg, Nederland";"0";"0.87";"4.36";"";"";"2025-04-11T08:28:46.618Z";"verafraga";"4.9";"439";"30";"8";"";"116";"1764"
"6119627388";"Gestreepte off shoulders shirtje";"";"Grote klerenkast opruiming, kleine prijsjes!

Geen gebreken.";"Very good";"XL / 42 / 14";"https://www.vinted.nl/items/6119627388-gestreepte-off-shoulders-shirtje";"Blue, White";"0";"8";"Groningen, Nederland";"1";"0.75";"1.75";"";"a day ago";"2025-04-10T20:15:33.848Z";"plotte";"4.9";"35";"3";"1";"";"51";"1042"
"6113865777";"Rok Primark";"";"In perfecte staat
Maat xl

#find_yourself_women_42";"Very good";"XL / 42 / 14";"https://www.vinted.nl/items/6113865777-rok-primark";"Khaki, Dark green";"0";"4";"";"2";"0.8";"2.8";"";"2 days ago";"2025-04-10T22:16:27.646Z";"";"";"";"";"";"";"";"198"
"5575325752";"Jurk Only";"";"In super nette staat!
Maat S";"Very good";"S / 36 / 8";"https://www.vinted.nl/items/5575325752-jurk-only";"Pink";"0";"2";"";"4";"0.9";"4.9";"";"3 months ago";"2025-04-10T21:59:53.138Z";"";"";"";"";"";"";"";"1065"
